Date,Close,Open,High,Low
2013-01-02,1689.9,1675.8,1695.0,1672.1
2013-01-03,1675.6,1688.0,1689.3,1664.3
2013-01-04,1649.9,1664.4,1664.4,1630.0
2013-01-07,1647.2,1657.3,1663.8,1645.3
2013-01-08,1663.2,1651.5,1662.6,1648.8
2013-01-09,1656.5,1660.7,1664.2,1652.3
2013-01-10,1679.0,1656.7,1679.2,1656.7
2013-01-11,1661.6,1674.8,1675.7,1655.0
2013-01-14,1670.4,1662.3,1675.2,1662.3
2013-01-15,1684.9,1669.7,1685.3,1669.2
2013-01-16,1684.2,1682.2,1685.2,1674.5
2013-01-17,1691.8,1680.9,1697.1,1668.0
2013-01-18,1688.0,1687.8,1695.8,1684.8
2013-01-21,1693.2,1686.5,1695.9,1684.8
2013-01-22,1694.2,1688.5,1696.0,1688.0
2013-01-23,1687.7,1694.2,1695.0,1684.8
2013-01-24,1670.9,1684.8,1686.1,1666.6
2013-01-25,1657.6,1669.4,1672.3,1656.3
2013-01-28,1654.0,1660.6,1662.2,1652.4
2013-01-29,1661.7,1654.6,1665.8,1654.6
2013-01-30,1681.6,1664.1,1685.0,1663.5
2013-01-31,1662.0,1677.0,1681.7,1658.4
2013-02-01,1670.6,1665.2,1683.0,1660.6
2013-02-04,1676.4,1669.1,1678.6,1661.8
2013-02-05,1673.5,1675.5,1687.0,1667.2
2013-02-06,1678.8,1673.4,1680.5,1668.8
2013-02-07,1671.3,1678.0,1683.9,1663.4
2013-02-08,1666.9,1671.8,1674.3,1665.8
2013-02-11,1649.1,1667.9,1670.3,1644.1
2013-02-12,1649.6,1648.6,1653.8,1639.5
2013-02-13,1645.1,1652.5,1655.0,1640.5
2013-02-14,1635.5,1642.5,1650.0,1632.8
2013-02-15,1609.5,1634.2,1636.0,1596.7
2013-02-18,1604.2,1610.0,1618.8,1600.2
2013-02-19,1604.2,1610.0,1618.8,1600.2
2013-02-20,1578.0,1604.2,1609.2,1558.1
2013-02-21,1578.6,1564.8,1584.4,1554.3
2013-02-22,1572.8,1577.0,1587.0,1569.3
2013-02-25,1586.6,1579.7,1596.5,1574.7
2013-02-26,1615.5,1592.7,1619.7,1583.7
2013-02-27,1597.4,1615.1,1616.1,1593.5
2013-02-28,1578.9,1592.8,1602.4,1575.0
2013-03-01,1573.1,1578.9,1584.2,1569.5
2013-03-04,1573.3,1579.3,1579.4,1573.9
2013-03-05,1575.8,1581.3,1583.3,1574.2
2013-03-06,1575.8,1570.9,1585.0,1568.3
2013-03-07,1576.1,1585.2,1585.2,1575.9
2013-03-08,1577.9,1582.0,1582.0,1562.0
2013-03-11,1579.0,1579.7,1580.5,1577.1
2013-03-12,1592.7,1583.6,1597.9,1583.2
2013-03-13,1589.4,1592.6,1597.9,1585.2
2013-03-14,1591.7,1589.3,1591.8,1578.0
2013-03-15,1593.6,1590.6,1598.0,1590.6
2013-03-18,1605.5,1602.7,1609.5,1593.9
2013-03-19,1612.2,1605.1,1615.2,1600.9
2013-03-20,1608.4,1613.7,1613.7,1602.0
2013-03-21,1614.7,1607.7,1616.1,1607.3
2013-03-22,1607.0,1615.0,1615.5,1604.0
2013-03-25,1605.4,1610.3,1613.1,1590.0
2013-03-26,1596.4,1604.0,1604.2,1594.8
2013-03-27,1607.2,1601.0,1609.0,1591.9
2013-03-28,1595.7,1605.6,1608.3,1594.3
2013-04-01,1600.9,1598.1,1601.6,1595.2
2013-04-02,1575.9,1600.1,1604.3,1574.0
2013-04-03,1553.5,1576.4,1577.3,1549.7
2013-04-04,1552.4,1557.7,1559.3,1539.4
2013-04-05,1575.9,1554.0,1581.8,1549.0
2013-04-08,1572.5,1580.8,1582.9,1566.6
2013-04-09,1586.7,1572.4,1590.1,1570.0
2013-04-10,1558.8,1585.0,1588.5,1555.3
2013-04-11,1564.9,1559.0,1568.1,1553.0
2013-04-12,1501.4,1560.3,1564.2,1476.0
2013-04-15,1361.1,1481.0,1495.0,1335.1
2013-04-16,1387.4,1355.0,1404.2,1321.5
2013-04-17,1382.7,1371.4,1395.2,1365.0
2013-04-18,1392.5,1376.1,1402.0,1335.6
2013-04-19,1395.6,1393.0,1424.7,1385.4
2013-04-22,1421.2,1408.3,1438.8,1403.5
2013-04-23,1408.8,1425.4,1432.8,1404.0
2013-04-24,1423.7,1412.5,1433.6,1411.5
2013-04-25,1462.0,1430.3,1468.6,1426.3
2013-04-26,1453.6,1467.3,1484.8,1447.3
2013-04-29,1468.1,1468.1,1468.1,1468.1
2013-04-30,1472.7,1464.0,1474.6,1464.0
2013-05-01,1446.8,1450.3,1451.6,1450.0
